# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "Saccharomyces_cerevisiae.R64-1-1.gtf" "-o" "gene_counts.txt" "SRR636637_sorted.bam" "SRR636636_sorted.bam" "SRR636635_sorted.bam" "SRR636633_sorted.bam" "SRR636638_sorted.bam" "SRR636634_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR636637_sorted.bam	SRR636636_sorted.bam	SRR636635_sorted.bam	SRR636633_sorted.bam	SRR636638_sorted.bam	SRR636634_sorted.bam
YDR513W	IV	1471017	1471448	+	432	25201	25464	979	992	22634	992
YDR487C	IV	1428354	1428980	-	627	17995	21488	2551	2577	15181	2032
YDR066C	IV	581908	582498	-	591	421	501	172	221	379	156
YDR352W	IV	1181801	1182754	+	954	1015	1288	1348	1313	889	1184
YDR278C	IV	1017001	1017318	-	318	3	6	0	1	6	0
YDR079C-A	IV	603593	603811	-	219	197	210	128	220	152	147
YDR204W	IV	858137	859144	+	1008	2247	3451	418	457	1936	364
YDL247W-A	IV	3762	3836	+	75	4	3	2	1	1	1
YDL024C	IV	408451	409857	-	1407	369	435	34	40	308	53
tA(AGC)D	IV	410379	410451	+	73	0	0	0	0	0	0
YDR109C	IV	673520	675667	-	2148	678	606	424	504	604	515
YDR466W	IV	1395121	1397817	+	2697	744	863	562	659	716	485
YDR427W	IV	1322205	1323386	+	1182	5378	4087	1966	1738	4742	2208
YDL044C	IV	373967	375289	-	1323	262	138	148	202	284	169
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	420	439	274	305	334	357
YDR193W	IV	844554	844952	+	399	3	1	2	1	2	4
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	419	526	168	255	374	195
YDR377W	IV	1228611	1228916	+	306	1609	1371	679	719	1449	728
YDR219C	IV	905455	906852	-	1398	372	256	266	346	429	269
YDR416W	IV	1298432	1301011	+	2580	644	731	514	731	674	537
YDR365C	IV	1204497	1206383	-	1887	1858	127	2270	2425	2136	3959
YDL233W	IV	36797	38173	+	1377	398	374	189	186	392	175
YDR287W	IV	1035995	1036873	+	879	871	1342	296	379	863	248
YDR448W	IV	1356065	1357369	+	1305	340	387	507	563	418	435
YDR180W	IV	821295	825776	+	4482	502	407	938	923	360	781
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	8	9	2	1	7	1
tT(AGU)D	IV	434264	434336	-	73	1	2	0	1	0	0
YDR294C	IV	1050459	1052228	-	1770	5756	7783	2303	2071	5109	1954
YDR198C	IV	852533	853972	-	1440	317	272	525	598	296	518
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	268	285	92	82	240	110
YDR501W	IV	1451353	1452918	+	1566	885	1005	230	246	718	242
YDL214C	IV	74446	76545	-	2100	289	347	149	148	215	110
YDR264C	IV	996029	998323	-	2295	12338	16155	4798	5059	8924	4453
YDR343C	IV	1159608	1161320	-	1713	42	35	20	21	27	17
YDR373W	IV	1222759	1223331	+	573	1405	1078	762	798	1423	741
YDR354W	IV	1184747	1185889	+	1143	2108	2527	1298	1327	1820	1312
YDR246W	IV	954288	954947	+	660	585	766	241	327	549	267
YDR428C	IV	1323454	1324239	-	786	557	698	584	694	528	562
YDR157W	IV	769931	770332	+	402	15	15	45	59	15	34
YDR316W	IV	1093763	1095178	+	1416	526	181	211	344	513	261
YDL142C	IV	201719	202570	-	852	1073	1259	236	252	937	266
YDR253C	IV	963990	964565	-	576	198	229	186	220	110	217
YDL112W	IV	258915	263225	+	4311	541	637	3584	4024	447	3156
YDR545W	IV	1526321	1531711	+	5391	9	14	13	20	14	13
YDL187C	IV	125509	125838	-	330	1	1	1	1	0	2
YDL138W	IV	213351	215642	+	2292	942	995	623	709	793	617
YDR528W	IV	1494586	1495857	+	1272	328	212	374	419	240	401
YDR284C	IV	1030550	1031419	-	870	2586	3721	1542	1537	2039	1361
YDR050C	IV	555726	556472	-	747	112042	122795	77761	80860	102386	72801
YDL010W	IV	432330	433025	+	696	317	457	192	219	278	166
YDL065C	IV	336249	337277	-	1029	810	143	330	406	926	378
YDR349C	IV	1172386	1174176	-	1791	3243	3755	3680	3773	2623	3425
YDL098C	IV	284581	285165	-	585	169	66	63	117	152	101
YDL234C	IV	34237	36477	-	2241	2005	2508	487	617	2123	593
YDR118W	IV	685882	687840	+	1959	481	642	366	385	486	399
YDR118W-A	IV	687768	687884	+	117	7	9	3	14	7	8
YDR159W	IV	771877	775782	+	3906	748	693	759	1023	733	791
YDR111C	IV	678241	679764	-	1524	433	513	773	926	417	678
YDR128W	IV	709549	712995	+	3447	1506	1804	1544	1522	1205	1157
YDL034W	IV	391783	392127	+	345	23	4	13	17	19	28
YDR065W	IV	580687	581784	+	1098	413	436	289	395	331	302
YDL004W	IV	443029	443511	+	483	2507	2316	922	971	2214	934
YDR024W	IV	491017	491502	+	486	6	2	38	15	11	19
YDL171C	IV	149203	155640	-	6438	1064	644	6799	6959	1198	5319
YDR083W	IV	612073	613251	+	1179	96	83	1111	1678	131	1200
YDR457W	IV	1369790	1379596	+	9807	2510	3557	4658	4790	2027	3399
YDR014W	IV	474046	475989	+	1944	328	130	205	252	320	198
YDR206W	IV	862054	864708	+	2655	1325	1624	2609	2891	1115	2486
YDR478W	IV	1414575	1415171	+	597	156	96	195	272	167	168
YDR169C	IV	792348	793889	-	1542	1098	815	483	455	1000	463
YDR115W	IV	682175	682492	+	318	733	701	311	306	593	326
YDL159W-A	IV	172182	172313	+	132	1	0	2	2	1	1
YDL232W	IV	38487	38597	+	111	539	331	416	398	366	388
YDL240C-A	IV	22471	22608	-	138	4	3	1	3	2	1
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	0	2	0	0	2
YDR432W	IV	1328783	1330027	+	1245	4142	4536	2630	2553	4108	2309
YDL022C-A	IV	409808	410056	-	249	11	18	1	1	8	0
YDL114W-A	IV	254935	255048	+	114	2	4	2	1	4	1
YDR410C	IV	1292372	1293091	-	720	1898	2926	1293	1431	1483	1096
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	11839	17477	2531	2526	8921	2358
YDR053W	IV	560249	560644	+	396	5	0	2	1	4	5
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	1076	864	630	637	1092	682
YDR482C	IV	1420431	1420838	-	408	140	150	188	220	136	183
YDL070W	IV	331024	332940	+	1917	2014	206	1195	1313	1923	1630
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	6565	4151	34229	36498	8502	30262
YDL135C	IV	218680	219288	-	609	1481	1816	801	1135	1617	777
YDL077C	IV	316971	320120	-	3150	704	815	559	663	650	552
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0	0	0
YDL033C	IV	392659	393912	-	1254	230	316	266	269	201	208
YDL031W	IV	394217	397204	+	2988	350	310	1919	2898	266	2313
YDR398W	IV	1267471	1269402	+	1932	356	224	2883	2638	285	2978
YDR326C	IV	1120609	1124925	-	4317	1361	1564	3068	3197	1106	2747
YDL052C	IV	362672	363583	-	912	1461	1879	1860	1732	1181	1735
YDR536W	IV	1508005	1509714	+	1710	284	273	127	121	172	153
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	29	15	21	20	19	16
YDL116W	IV	251566	253746	+	2181	1482	1825	1310	1615	1631	1470
YDR028C	IV	497835	500879	-	3045	3590	5056	1664	2396	3563	1671
YDL007W	IV	438047	439360	+	1314	5874	5799	2194	3038	5725	2233
YDR236C	IV	935236	935892	-	657	1514	1928	567	640	1290	588
YDR011W	IV	465919	470424	+	4506	19928	15685	6080	6012	19544	5519
YDR155C	IV	768512	769000	-	489	20268	21890	15988	14620	16731	14329
YDR414C	IV	1295598	1296686	-	1089	552	629	930	903	504	848
YDR026C	IV	492556	494268	-	1713	544	443	462	699	563	579
YDL073W	IV	326613	329567	+	2955	1294	1197	1712	1586	1127	1521
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	1	0	0	1	1	1
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	1011	1301	279	371	1032	274
YDL145C	IV	194571	198176	-	3606	9318	7403	9790	8279	7433	8437
YDR203W	IV	857682	857999	+	318	1	3	1	0	0	0
YDL104C	IV	273653	274876	-	1224	242	265	151	155	221	143
YDL149W	IV	184925	187918	+	2994	819	1017	209	258	749	204
YDR231C	IV	926293	926910	-	618	283	525	94	119	265	88
YDR045C	IV	547978	548310	-	333	220	138	536	665	201	540
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	4937	2083	15099	20168	8072	15381
YDR415C	IV	1297037	1298161	-	1125	901	1075	573	560	675	509
YDR339C	IV	1149951	1150520	-	570	370	254	640	905	378	665
YDL213C	IV	77289	77966	-	678	152	40	648	960	209	864
YDR096W	IV	637139	639823	+	2685	851	595	445	376	750	380
YDL019C	IV	417663	421514	-	3852	2400	3695	1564	1588	2318	1170
YDL022W	IV	411825	413000	+	1176	7634	6470	1050	931	7745	1101
YDR413C	IV	1294836	1295411	-	576	0	0	5	2	0	3
YDR391C	IV	1257358	1258056	-	699	2062	2670	202	284	1750	301
YDR091C	IV	626708	628534	-	1827	731	704	6457	6151	608	6285
YDR240C	IV	943674	945152	-	1479	317	363	331	444	325	335
YDL244W	IV	16204	17226	+	1023	47	78	16	12	33	18
YDR179C	IV	818708	819196	-	489	22	0	18	21	35	63
YDL165W	IV	164290	164865	+	576	1290	1646	537	611	1218	614
YDL140C	IV	205360	210561	-	5202	7307	9655	8997	8958	5485	7790
YDR120C	IV	691549	693261	-	1713	151	115	2354	2884	110	2487
YDR003W	IV	454122	454754	+	633	3168	3219	310	337	3260	254
YDR499W	IV	1447830	1450073	+	2244	402	186	288	394	436	343
YDR166C	IV	786306	789221	-	2916	1393	1569	870	969	1279	836
YDL092W	IV	292781	293221	+	441	824	798	659	971	824	784
YDL041W	IV	378102	378455	+	354	1	0	5	0	1	1
YDL241W	IV	20635	21006	+	372	121	166	251	344	110	267
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	1547	982	12268	14582	1930	12184
YDR277C	IV	1014401	1015702	-	1302	225	315	158	153	160	160
YDR291W	IV	1039728	1042961	+	3234	783	1142	709	905	766	752
YDR475C	IV	1407464	1410094	-	2631	1443	1558	501	542	1497	503
YDR244W	IV	950563	952401	+	1839	847	1071	356	487	960	364
YDR407C	IV	1284069	1287938	-	3870	1854	1388	1445	1404	1580	1343
YDR382W	IV	1239492	1239824	+	333	10592	7141	25314	32352	12887	23752
YDR102C	IV	657648	657980	-	333	26	29	20	19	14	22
YDL188C	IV	123865	124998	-	1134	1201	1294	1170	990	937	959
YDR405W	IV	1277646	1278437	+	792	430	433	159	205	403	199
YDR443C	IV	1345676	1349938	-	4263	659	967	581	586	555	389
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	1325	1926	199	207	903	182
YDR144C	IV	744311	746101	-	1791	463	721	3903	3941	306	3319
YDL157C	IV	174232	174588	-	357	664	484	1113	1064	524	914
YDL058W	IV	345665	351037	+	5373	1603	697	1963	1931	1461	1786
YDL096C	IV	286998	287324	-	327	8	3	8	4	1	4
YDL155W	IV	176773	178056	+	1284	433	484	664	758	356	666
YDR147W	IV	751631	753235	+	1605	268	333	504	578	267	478
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	1754	1573	4386	6064	2482	4114
YDL128W	IV	232652	233887	+	1236	3897	5625	3494	3324	3153	2890
YDR310C	IV	1081128	1084316	-	3189	635	766	1571	1579	584	1365
YDL160C-A	IV	169366	169608	-	243	146	188	123	234	173	135
YDR127W	IV	704484	709250	+	4767	10435	11573	6177	5957	9538	5257
YDR497C	IV	1443713	1445467	-	1755	3589	3175	8030	6387	3386	7249
YDL162C	IV	167359	167715	-	357	2	12	5	7	5	9
tS(AGA)D3	IV	1305630	1305712	+	83	0	0	0	0	0	0
YDR201W	IV	856317	856814	+	498	232	205	232	268	217	213
YDR163W	IV	781423	781950	+	528	287	97	126	172	334	151
YDL146W	IV	192750	194225	+	1476	1905	2270	453	471	1607	449
YDR363W-A	IV	1202128	1202397	+	270	1242	310	486	708	1367	550
YDL221W	IV	62011	62562	+	552	47	88	46	63	33	39
YDL089W	IV	296820	298274	+	1455	1060	926	359	364	878	377
YDR385W	IV	1243230	1245758	+	2529	2296	2131	12874	13345	2767	10763
YDR331W	IV	1129588	1130823	+	1236	691	593	951	1018	685	960
YDR196C	IV	850274	850999	-	726	876	1206	422	599	1027	385
YDR116C	IV	682724	683581	-	858	660	819	351	449	602	388
YDR001C	IV	450220	452475	-	2256	10325	14657	986	1176	10091	1048
YDL230W	IV	42700	43707	+	1008	676	1170	220	281	604	222
YDR160W	IV	776163	778721	+	2559	1049	1371	799	967	1050	826
YDR123C	IV	698554	699468	-	915	111	142	287	332	82	296
YDR322W	IV	1110589	1111692	+	1104	933	1135	484	498	901	541
YDR040C	IV	535192	538467	-	3276	154	193	295	291	99	232
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	1560	935	13840	14682	2020	12708
YDR046C	IV	548762	550576	-	1815	1888	1664	2211	2147	1568	2017
YDL057W	IV	351434	352420	+	987	502	676	119	124	469	114
YDL248W	IV	1802	2953	+	1152	358	369	183	154	287	171
YDR008C	IV	462252	462602	-	351	37	39	38	34	34	29
YDR029W	IV	501100	501414	+	315	113	145	76	62	77	59
YDR485C	IV	1424820	1427207	-	2388	648	298	304	498	639	370
YDR408C	IV	1288215	1288859	-	645	1370	1586	1800	2013	1312	1756
YDR038C	IV	527422	530697	-	3276	127	257	342	409	103	252
YDL204W	IV	94605	95786	+	1182	2550	4230	205	204	2929	194
YDR019C	IV	484163	485365	-	1203	470	558	1090	983	400	941
YDR477W	IV	1412373	1414274	+	1902	1858	1941	1101	1118	1760	1158
YDR254W	IV	965113	966489	+	1377	447	575	312	362	451	305
YDR514C	IV	1471548	1472999	-	1452	244	302	290	414	221	347
YDR296W	IV	1055212	1055892	+	681	909	1408	272	342	818	284
YDL216C	IV	68997	70319	-	1323	535	771	151	218	550	176
YDL100C	IV	282112	283176	-	1065	8409	9307	5290	5326	7854	4933
YDL068W	IV	333500	333829	+	330	2	5	0	2	5	2
YDL026W	IV	404749	405060	+	312	3	5	2	2	3	0
YDL124W	IV	240259	241197	+	939	21829	29516	900	1117	19513	969
YDL227C	IV	46271	48031	-	1761	65	84	836	1094	49	1034
YDL111C	IV	263313	264110	-	798	1045	1076	1344	1243	950	1219
YDR324C	IV	1114433	1116763	-	2331	175	197	2486	2997	120	2488
YDL170W	IV	156318	157904	+	1587	752	533	448	463	942	446
YDR317W	IV	1102184	1103428	+	1245	339	432	225	221	305	236
YDR436W	IV	1334821	1336953	+	2133	1328	1789	527	489	1171	434
YDR208W	IV	868224	870563	+	2340	1047	1168	1052	1231	972	1123
YDR386W	IV	1246084	1247982	+	1899	399	337	186	289	363	247
YDR504C	IV	1456311	1456694	-	384	69	56	50	46	56	51
YDL220C	IV	62244	65018	-	2775	426	557	319	352	317	343
YDR396W	IV	1266295	1266795	+	501	33	21	56	65	53	72
YDR258C	IV	971808	974243	-	2436	6693	2706	414	415	10084	449
YDR176W	IV	814452	816560	+	2109	794	531	478	710	837	579
YDL099W	IV	283419	284444	+	1026	1323	291	445	651	1630	553
YDR380W	IV	1234218	1236125	+	1908	5145	4024	810	733	4084	758
YDL110C	IV	264512	264964	-	453	997	1101	123	136	1078	136
YDR148C	IV	753675	755066	-	1392	3969	5266	1166	1288	3796	1104
YDL201W	IV	99561	100421	+	861	192	184	1085	1434	152	1124
YDL107W	IV	268921	269976	+	1056	403	215	91	158	466	145
YDR515W	IV	1473429	1474772	+	1344	516	76	127	208	450	230
YDR133C	IV	720962	721297	-	336	4274	5771	5771	4745	3845	5130
YDR378C	IV	1229349	1229609	-	261	854	1158	895	1164	825	921
YDR473C	IV	1404445	1405854	-	1410	393	104	188	241	483	215
YDR403W	IV	1274602	1276212	+	1611	450	678	123	117	352	89
YDR268W	IV	1004004	1005143	+	1140	615	1075	369	343	602	350
YDR409W	IV	1289406	1292120	+	2715	547	574	533	546	537	509
YDR173C	IV	810565	811632	-	1068	390	400	192	223	331	246
YDR187C	IV	836228	836746	-	519	31	16	23	16	20	11
YDR389W	IV	1252537	1254501	+	1965	874	745	1096	1173	779	843
YDR417C	IV	1301555	1301926	-	372	2	4	13	6	5	14
YDR165W	IV	784871	786205	+	1335	358	195	2346	2503	402	2386
YDL113C	IV	256633	258555	-	1923	1394	927	246	333	1431	305
YDR426C	IV	1321629	1322006	-	378	3	0	1	0	1	0
YDR521W	IV	1483141	1483476	+	336	7	2	3	2	1	3
YDR086C	IV	616928	617170	-	243	1483	1610	1873	2666	1544	1952
YDL021W	IV	413953	414888	+	936	1742	1814	43	50	1599	52
YDR023W	IV	489508	490896	+	1389	4651	3870	9412	11347	5958	9266
YDR394W	IV	1261681	1262967	+	1287	7040	8253	2248	2619	6206	2573
YDR320C-A	IV	1108280	1108498	-	219	204	130	123	210	160	165
YDR003W-A	IV	454782	454904	+	123	732	871	73	84	859	75
YDR183W	IV	829585	830277	+	693	376	506	142	284	434	185
YDR245W	IV	952800	953981	+	1182	1464	1882	2687	3041	1322	2176
YDR431W	IV	1328390	1328701	+	312	2	1	3	2	2	0
YDL154W	IV	178334	181039	+	2706	330	344	217	329	322	198
YDL184C	IV	130407	130484	-	78	5416	4385	5492	7657	5630	5051
YDR153C	IV	766736	767971	-	1236	662	643	519	718	814	537
YDR014W-A	IV	477797	478285	+	489	21	26	4	6	15	2
YDR434W	IV	1331237	1332841	+	1605	2123	1885	1999	1941	1942	1843
YDL002C	IV	446967	447578	-	612	570	516	270	488	702	303
YDR225W	IV	915530	915928	+	399	830	987	8805	8555	819	8706
YDR418W	IV	1301616	1302113	+	498	885	516	6019	5582	1107	5050
YDR224C	IV	914317	914712	-	396	1614	1243	6397	7493	1556	7532
YDR502C	IV	1453310	1454464	-	1155	961	1025	3241	3227	1079	2885
YDR447C	IV;IV	1354829;1355551	1355236;1355553	-;-	411	2011	1083	12709	18241	3490	12989
YDL039C	IV	381985	384081	-	2097	397	250	3810	3310	361	4276
YDL225W	IV	52445	54100	+	1656	1378	890	807	1116	1510	969
YDR259C	IV	974631	975782	-	1152	89	32	69	87	75	83
YDR495C	IV	1438115	1441150	-	3036	610	431	312	460	585	335
YDL151C	IV	183318	183899	-	582	7	2	15	16	0	12
YDR357C	IV	1189199	1189567	-	369	246	167	181	249	227	206
YDR370C	IV	1217782	1219110	-	1329	363	354	585	687	284	633
YDR298C	IV	1058176	1058814	-	639	3326	3833	2026	1952	2910	1869
YDR276C	IV	1013476	1013643	-	168	6436	10184	3995	4314	5665	3240
YDL185C-A	IV	126608	126835	-	228	99	120	92	81	72	79
YDR545C-A	IV	1530863	1531342	-	480	0	0	0	0	0	0
tM(CAU)D	IV	1175829	1175901	+	73	0	0	1	0	0	0
YDL247W	IV	5985	7814	+	1830	20	21	15	7	10	10
YDR406W	IV	1279210	1283799	+	4590	2859	4317	1433	1374	2173	1195
